subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s002,6,37,0.0866,0.1219,0.0353,0.0671,0.136,0.0689,0.0634,0.0682,0.0048,0.0715,0.2359,0.1644,0.0987,0.3754,0.2767,0.0927,0.1476,0.0549,0.0774,0.139,0.0616,0.0964,0.1186,0.0222,0.075,0.1982,0.1232,0.0779,0.1907,0.1128,0.0771
s002,6,38,0.0789,0.1182,0.0393,0.0779,0.1109,0.033,0.0692,0.1104,0.0412,0.0803,0.2394,0.1591,0.061,0.325,0.264,0.1181,0.1754,0.0573,0.075,0.1215,0.0465,0.1146,0.1075,-0.0071,0.0702,0.1615,0.0913,0.0747,0.1965,0.1218,0.0744
s002,6,39,0.09,0.1095,0.0195,0.0837,0.1389,0.0552,0.0726,0.062,-0.0106,0.0853,0.3175,0.2322,0.089,0.3487,0.2597,0.0925,0.1611,0.0686,0.1085,0.1305,0.022,0.1051,0.1751,0.07,0.0797,0.1802,0.1005,0.0892,0.2144,0.1252,0.1048
s002,6,40,0.0797,0.1918,0.1121,0.0729,0.1429,0.07,0.0562,0.1148,0.0586,0.0697,0.2895,0.2198,0.0774,0.3036,0.2262,0.0966,0.1098,0.0132,0.0779,0.1419,0.064,0.1098,0.0689,-0.0409,0.0679,0.1642,0.0963,0.0705,0.1752,0.1047,0.062
s002,6,41,0.0824,0.1404,0.058,0.076,0.1106,0.0346,0.0734,0.112,0.0386,0.081,0.3283,0.2473,0.0832,0.3546,0.2714,0.1117,0.1289,0.0172,0.081,0.1421,0.0611,0.1264,0.1106,-0.0158,0.0613,0.1624,0.1011,0.0795,0.1886,0.1091,0.0781
s002,6,42,0.0905,0.1047,0.0142,0.0837,0.1471,0.0634,0.0626,0.0766,0.014,0.0808,0.2877,0.2069,0.1035,0.3788,0.2753,0.1254,0.2291,0.1037,0.0787,0.1239,0.0452,0.1,0.1096,0.0096,0.0842,0.185,0.1008,0.0858,0.196,0.1102,0.0715
s002,6,43,0.0795,0.1407,0.0612,0.0874,0.1423,0.0549,0.066,0.1054,0.0394,0.0784,0.2866,0.2082,0.08,0.3725,0.2925,0.0938,0.1142,0.0204,0.0905,0.1492,0.0587,0.0954,0.0906,-0.0048,0.0732,0.1634,0.0902,0.0847,0.192,0.1073,0.0795
s002,6,44,0.0942,0.1348,0.0406,0.0734,0.141,0.0676,0.0642,0.0893,0.0251,0.0705,0.3304,0.2599,0.0892,0.35,0.2608,0.1,0.1591,0.0591,0.0766,0.1115,0.0349,0.1109,0.1355,0.0246,0.0623,0.1599,0.0976,0.0887,0.1923,0.1036,0.0832
s002,6,45,0.113,0.1319,0.0189,0.0834,0.1597,0.0763,0.0589,0.1729,0.114,0.0813,0.555,0.4737,0.0816,0.3057,0.2241,0.0996,0.1442,0.0446,0.0842,0.1075,0.0233,0.0977,0.1125,0.0148,0.0726,0.1779,0.1053,0.0887,0.1923,0.1036,0.0539
s002,6,46,0.0969,0.1288,0.0319,0.0784,0.1315,0.0531,0.0591,0.0876,0.0285,0.0839,0.3446,0.2607,0.0908,0.3493,0.2585,0.1115,0.1918,0.0803,0.0779,0.1152,0.0373,0.1051,0.1123,0.0072,0.0787,0.1872,0.1085,0.0813,0.1886,0.1073,0.0676
s002,6,47,0.0599,0.0907,0.0308,0.081,0.1681,0.0871,0.052,0.0665,0.0145,0.0869,0.3421,0.2552,0.0832,0.3741,0.2909,0.0948,0.1434,0.0486,0.0652,0.122,0.0568,0.1162,0.112,-0.0042,0.0871,0.1853,0.0982,0.081,0.1994,0.1184,0.0731
s002,6,48,0.1043,0.0984,-0.0059,0.076,0.1507,0.0747,0.0723,0.0781,0.0058,0.0847,0.2794,0.1947,0.0964,0.3704,0.274,0.1064,0.1252,0.0188,0.0818,0.174,0.0922,0.1219,0.1674,0.0455,0.081,0.1982,0.1172,0.0855,0.2197,0.1342,0.0694
s002,6,49,0.1074,0.1366,0.0292,0.0731,0.1172,0.0441,0.0655,0.0959,0.0304,0.081,0.3114,0.2304,0.0832,0.3677,0.2845,0.0908,0.1718,0.081,0.0818,0.0988,0.017,0.1106,0.1299,0.0193,0.0813,0.1747,0.0934,0.0919,0.1828,0.0909,0.0797
s002,6,50,0.1151,0.1296,0.0145,0.0821,0.1402,0.0581,0.0639,0.1431,0.0792,0.0929,0.3811,0.2882,0.094,0.4279,0.3339,0.1228,0.1204,-0.0024,0.0974,0.2835,0.1861,0.1151,0.1183,0.0032,0.089,0.1977,0.1087,0.0929,0.2094,0.1165,0.0576
s002,7,1,0.1016,0.287,0.1854,0.0718,0.1214,0.0496,0.0576,0.1252,0.0676,0.081,0.6911,0.6101,0.0694,0.3592,0.2898,0.1212,0.1711,0.0499,0.0784,0.1569,0.0785,0.1096,0.0864,-0.0232,0.08,0.1993,0.1193,0.0845,0.2359,0.1514,0.0766
s002,7,2,0.1095,0.2002,0.0907,0.0692,0.1012,0.032,0.0763,0.1056,0.0293,0.0768,0.4465,0.3697,0.0927,0.9154,0.8227,0.1452,0.3439,0.1987,0.0974,0.1434,0.046,0.1124,0.1164,0.004,0.0787,0.1653,0.0866,0.0774,0.1855,0.1081,0.075
s002,7,3,0.1029,0.139,0.0361,0.0694,0.1043,0.0349,0.0723,0.0977,0.0254,0.0787,0.3093,0.2306,0.0979,0.3687,0.2708,0.1104,0.1524,0.042,0.089,0.1503,0.0613,0.1017,0.055,-0.0467,0.085,0.1942,0.1092,0.0721,0.1886,0.1165,0.0684
s002,7,4,0.1093,0.1193,0.01,0.0702,0.1267,0.0565,0.0776,0.1014,0.0238,0.071,0.3681,0.2971,0.0966,0.439,0.3424,0.1046,0.2197,0.1151,0.0929,0.126,0.0331,0.0869,0.0755,-0.0114,0.0777,0.165,0.0873,0.0829,0.1749,0.092,0.0718
s002,7,5,0.0979,0.1519,0.054,0.0721,0.1022,0.0301,0.0721,0.1112,0.0391,0.0781,0.3177,0.2396,0.0964,0.3559,0.2595,0.0996,0.2128,0.1132,0.0869,0.1324,0.0455,0.1193,0.0837,-0.0356,0.0977,0.1755,0.0778,0.1019,0.2079,0.106,0.0792
s002,7,6,0.0919,0.0998,0.0079,0.0911,0.1328,0.0417,0.0718,0.0943,0.0225,0.0876,0.2602,0.1726,0.0853,0.4012,0.3159,0.1164,0.1742,0.0578,0.0874,0.1672,0.0798,0.1028,0.0922,-0.0106,0.1041,0.1965,0.0924,0.081,0.1936,0.1126,0.0734
s002,7,7,0.0934,0.1224,0.029,0.0671,0.1154,0.0483,0.0774,0.0912,0.0138,0.0713,0.3135,0.2422,0.0837,0.4205,0.3368,0.1156,0.1444,0.0288,0.0971,0.1711,0.074,0.0821,0.1452,0.0631,0.0618,0.1623,0.1005,0.0847,0.1822,0.0975,0.0803
s002,7,8,0.0927,0.1135,0.0208,0.0665,0.1283,0.0618,0.0702,0.1096,0.0394,0.0842,0.3832,0.299,0.0927,0.3707,0.278,0.1156,0.1278,0.0122,0.0837,0.1482,0.0645,0.1206,0.4057,0.2851,0.132,0.2946,0.1626,0.1003,0.2374,0.1371,0.0832
s002,7,9,0.1188,0.209,0.0902,0.0668,0.093,0.0262,0.0866,0.141,0.0544,0.0781,0.3903,0.3122,0.0784,0.3849,0.3065,0.1104,0.1532,0.0428,0.0758,0.1392,0.0634,0.0993,0.0827,-0.0166,0.0776,0.1668,0.0892,0.0871,0.2195,0.1324,0.0821
s002,7,10,0.1161,0.1828,0.0667,0.0628,0.0887,0.0259,0.0964,0.1276,0.0312,0.0713,0.3365,0.2652,0.0821,0.3767,0.2946,0.1175,0.1629,0.0454,0.1056,0.1762,0.0706,0.1267,0.0573,-0.0694,0.0871,0.1879,0.1008,0.0927,0.2193,0.1266,0.1035
s002,7,11,0.1069,0.1322,0.0253,0.07,0.1373,0.0673,0.0774,0.0991,0.0217,0.0908,0.4098,0.319,0.0792,0.3806,0.3014,0.1342,0.1643,0.0301,0.0752,0.3249,0.2497,0.1412,0.2025,0.0613,0.0887,0.2035,0.1148,0.0797,0.1973,0.1176,0.0726
s002,7,12,0.0866,0.1631,0.0765,0.0684,0.1209,0.0525,0.0668,0.1304,0.0636,0.0755,0.465,0.3895,0.0737,0.3606,0.2869,0.1046,0.1648,0.0602,0.085,0.1561,0.0711,0.0827,0.075,-0.0077,0.0846,0.192,0.1074,0.0924,0.2446,0.1522,0.0618
s002,7,13,0.0982,0.143,0.0448,0.0652,0.1241,0.0589,0.0639,0.0882,0.0243,0.0895,0.404,0.3145,0.0781,0.4158,0.3377,0.0885,0.1252,0.0367,0.0771,0.15,0.0729,0.1093,0.1104,0.0011,0.0663,0.1821,0.1158,0.0895,0.2324,0.1429,0.0623
s002,7,14,0.0887,0.1419,0.0532,0.0594,0.1368,0.0774,0.0636,0.0956,0.032,0.0737,0.6091,0.5354,0.0721,0.3886,0.3165,0.1101,0.1931,0.083,0.076,0.1769,0.1009,0.113,0.1682,0.0552,0.1011,0.1906,0.0895,0.0948,0.2116,0.1168,0.0924
s002,7,15,0.0966,0.12,0.0234,0.0845,0.1481,0.0636,0.0721,0.0888,0.0167,0.0795,0.2901,0.2106,0.0803,0.4026,0.3223,0.09,0.17,0.08,0.0853,0.1239,0.0386,0.1059,0.1176,0.0117,0.0781,0.1723,0.0942,0.0921,0.201,0.1089,0.062
s002,7,16,0.0953,0.1301,0.0348,0.0763,0.108,0.0317,0.0726,0.0998,0.0272,0.0882,0.326,0.2378,0.1074,0.3735,0.2661,0.1149,0.1416,0.0267,0.0726,0.1695,0.0969,0.1175,0.1054,-0.0121,0.0792,0.1845,0.1053,0.095,0.2152,0.1202,0.0879
s002,7,17,0.1061,0.2712,0.1651,0.1024,0.1708,0.0684,0.0781,0.1462,0.0681,0.0805,0.3874,0.3069,0.0763,0.4039,0.3276,0.1017,0.1387,0.037,0.0813,0.2184,0.1371,0.1558,0.0051,-0.1507,0.0792,0.2423,0.1631,0.0953,0.2034,0.1081,0.081
s002,7,18,0.1043,0.2312,0.1269,0.0752,0.1127,0.0375,0.0826,0.2061,0.1235,0.0839,0.6214,0.5375,0.0708,0.3392,0.2684,0.1027,0.1109,0.0082,0.0948,0.1957,0.1009,0.0777,0.0135,-0.0642,0.0602,0.2146,0.1544,0.0956,0.2552,0.1596,0.081
s002,7,19,0.1006,0.1494,0.0488,0.0615,0.1045,0.043,0.081,0.1114,0.0304,0.0597,0.3122,0.2525,0.0781,0.3479,0.2698,0.0892,0.1321,0.0429,0.0932,0.1561,0.0629,0.093,0.0898,-0.0032,0.0851,0.1819,0.0968,0.0845,0.1781,0.0936,0.0726
s002,7,20,0.118,0.128,0.01,0.0919,0.1247,0.0328,0.0879,0.103,0.0151,0.0858,0.2795,0.1937,0.0818,0.3817,0.2999,0.1109,0.1284,0.0175,0.0969,0.1743,0.0774,0.0982,0.0684,-0.0298,0.09,0.1802,0.0902,0.099,0.1804,0.0814,0.0839
s002,7,21,0.1212,0.1264,0.0052,0.0855,0.1299,0.0444,0.0729,0.0861,0.0132,0.0993,0.2859,0.1866,0.0998,0.3643,0.2645,0.1135,0.1291,0.0156,0.0887,0.1479,0.0592,0.1275,0.0937,-0.0338,0.0756,0.188,0.1124,0.1135,0.2401,0.1266,0.1003
s002,7,22,0.0869,0.166,0.0791,0.0655,0.1054,0.0399,0.0647,0.1666,0.1019,0.0742,0.3481,0.2739,0.0839,0.3824,0.2985,0.0932,0.1452,0.052,0.0784,0.1532,0.0748,0.0895,0.0943,0.0048,0.0855,0.1969,0.1114,0.066,0.1788,0.1128,0.0805
s002,7,23,0.1272,0.2271,0.0999,0.0908,0.108,0.0172,0.0721,0.1289,0.0568,0.0816,0.2988,0.2172,0.0821,0.3749,0.2928,0.0995,0.1333,0.0338,0.0884,0.1455,0.0571,0.1241,0.1384,0.0143,0.0816,0.5993,0.5177,0.1241,0.2546,0.1305,0.0969
s002,7,24,0.0905,0.2139,0.1234,0.0729,0.1194,0.0465,0.0855,0.0995,0.014,0.0826,0.3702,0.2876,0.0937,0.3693,0.2756,0.1004,0.1427,0.0423,0.0742,0.144,0.0698,0.112,0.0993,-0.0127,0.0732,0.212,0.1388,0.0726,0.2588,0.1862,0.0837
s002,7,25,0.0919,0.1607,0.0688,0.08,0.1529,0.0729,0.0706,0.046,-0.0246,0.0874,0.3236,0.2362,0.099,0.3696,0.2706,0.0985,0.2059,0.1074,0.0995,0.1376,0.0381,0.126,0.0753,-0.0507,0.0888,0.1859,0.0971,0.0993,0.2098,0.1105,0.0789
s002,7,26,0.1156,0.1456,0.03,0.0792,0.1175,0.0383,0.1064,0.0942,-0.0122,0.0774,0.2827,0.2053,0.0861,0.3686,0.2825,0.1017,0.1239,0.0222,0.0919,0.154,0.0621,0.1062,0.1046,-0.0016,0.0885,0.1909,0.1024,0.0969,0.206,0.1091,0.0903
s002,7,27,0.1233,0.1187,-0.0046,0.0797,0.184,0.1043,0.0893,0.0077,-0.0816,0.0726,0.5674,0.4948,0.0953,0.3984,0.3031,0.0985,0.1162,0.0177,0.0747,0.1719,0.0972,0.1127,0.1344,0.0217,0.0697,0.2003,0.1306,0.0855,0.2039,0.1184,0.0797
s002,7,28,0.1204,0.1918,0.0714,0.0618,0.1341,0.0723,0.0708,0.1413,0.0705,0.0774,0.4073,0.3299,0.0821,0.411,0.3289,0.1065,0.0972,-0.0093,0.0962,0.195,0.0988,0.1112,0.0996,-0.0116,0.0792,0.2074,0.1282,0.0805,0.2395,0.159,0.0718
s002,7,29,0.0929,0.1351,0.0422,0.0876,0.1304,0.0428,0.0781,0.1053,0.0272,0.0845,0.28,0.1955,0.07,0.382,0.312,0.126,0.1217,-0.0043,0.1025,0.163,0.0605,0.1132,0.1201,0.0069,0.0882,0.2088,0.1206,0.1014,0.2034,0.102,0.0834
s002,7,30,0.1029,0.1358,0.0329,0.0763,0.1383,0.062,0.0735,0.0473,-0.0262,0.0806,0.3516,0.271,0.1024,0.4094,0.307,0.121,0.1162,-0.0048,0.1183,0.1809,0.0626,0.1185,0.1238,0.0053,0.0742,0.5188,0.4446,0.1246,0.2541,0.1295,0.099
s002,7,31,0.1175,0.1771,0.0596,0.0718,0.1243,0.0525,0.0776,0.1053,0.0277,0.0681,0.2866,0.2185,0.0905,0.4342,0.3437,0.0713,0.2281,0.1568,0.0787,0.1181,0.0394,0.1122,0.1883,0.0761,0.0919,0.2033,0.1114,0.114,0.2685,0.1545,0.0792
s002,7,32,0.1256,0.1577,0.0321,0.0808,0.1368,0.056,0.0914,0.0903,-0.0011,0.0903,0.2721,0.1818,0.0977,0.3881,0.2904,0.1231,0.1503,0.0272,0.1024,0.1553,0.0529,0.1499,0.151,0.0011,0.1027,0.2009,0.0982,0.1227,0.2329,0.1102,0.0832
s002,7,33,0.1204,0.1079,-0.0125,0.0808,0.1642,0.0834,0.0882,0.0433,-0.0449,0.0803,0.3091,0.2288,0.1011,0.4071,0.306,0.1178,0.1508,0.033,0.1059,0.168,0.0621,0.1043,0.112,0.0077,0.0763,0.1966,0.1203,0.1008,0.2113,0.1105,0.0821
s002,7,34,0.0847,0.1688,0.0841,0.0808,0.122,0.0412,0.0694,0.1425,0.0731,0.1,0.3866,0.2866,0.0971,0.4036,0.3065,0.1146,0.1413,0.0267,0.0742,0.1664,0.0922,0.1312,0.0972,-0.034,0.089,0.1964,0.1074,0.1037,0.2279,0.1242,0.0726
